source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
10.0,accuracy_score,0.8469643753135976,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
10.0,recall_score,0.8601694915254238,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
10.0,precision_score,0.8243654822335026,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
10.0,f1_score,0.8418869880767237,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
11.0,accuracy_score,0.4706472654290015,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
11.0,recall_score,0.21558164354322304,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
11.0,precision_score,0.38697318007662834,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
11.0,f1_score,0.27690198766278273,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
0.0,accuracy_score,0.848605577689243,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
0.0,recall_score,0.9084423305588585,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
0.0,precision_score,0.7709384460141272,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
0.0,f1_score,0.8340611353711792,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
1.0,accuracy_score,0.7918326693227091,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
1.0,recall_score,0.8247058823529412,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
1.0,precision_score,0.722680412371134,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
1.0,f1_score,0.7703296703296703,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
2.0,accuracy_score,0.8844621513944223,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
2.0,recall_score,0.9802749551703527,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.8917890157694399,validation,6,64,False,25,1.0,0.8,0,64,0.5,4
